STATION,NAME,DATE,TMAX,TMIN
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/14/03,55,37
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/15/03,55,37
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/16/03,61,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/17/03,68,57
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/18/03,67,60
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/19/03,61,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/20/03,66,53
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/21/03,64,52
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/22/03,67,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/23/03,57,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/24/03,55,39
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/25/03,59,37
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/26/03,58,37
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/27/03,56,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/28/03,57,47
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/29/03,51,42
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/30/03,46,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",10/31/03,45,30
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",11/1/03,41,26
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",11/2/03,48,26
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",11/3/03,47,28
